CustomerID,Segment,Cluster,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Predicted_CLV_12m,Expected_Purchases_12m,Probability_Alive,Churn_Probability,Risk_Level,Recommended_Action
12414,Inactive,1,217,3,562.41,1,3,3,133,705.3295808831213,0.0890777747829881,0.9951153932238256,0.9999776962114252,High,Low Priority: Automated email only
12415,Platinum Tier,4,24,21,124914.53,4,5,5,455,96342.3746196274,0.4676673423349125,0.9995654536021642,2.2303788574990937e-05,Low,Maintain: Continue white-glove service
12417,Silver Tier,0,3,9,3649.1,5,5,5,555,2930.0385794904214,0.2486162232152422,0.9997338907086843,2.2303788574990148e-05,Low,Maintain: Standard loyalty program
12418,Silver Tier,0,113,1,668.58,2,1,3,213,640.3162225470167,0.0548254206643806,1.0,0.9999776962114252,High,Send: Standard win-back offer
12420,Silver Tier,0,64,1,600.39,3,1,3,313,877.9831095133258,0.075191074676543,1.0,2.2303788574990703e-05,Low,Maintain: Standard loyalty program
12421,Silver Tier,0,16,4,807.04,4,4,3,443,904.2696576814528,0.1183184233337382,0.999543121156792,2.2303788574989992e-05,Low,Maintain: Standard loyalty program
12422,Silver Tier,0,96,3,803.5600000000001,2,3,3,233,803.1320188131793,0.0862417985343187,0.9990304819580436,0.9999776962114252,High,Send: Standard win-back offer
12423,Silver Tier,0,1,8,1859.31,5,5,4,554,1612.0745574288464,0.2225387819516899,0.9997303711453764,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12424,Inactive,1,163,2,1760.96,2,2,4,224,501.73383744486046,0.0429538532745328,1.0,0.9999776962114252,High,Low Priority: Automated email only
12425,Silver Tier,0,78,1,777.2,2,1,3,213,788.3999061904082,0.0675138464403072,1.0,2.230378857499229e-05,Low,Maintain: Standard loyalty program
12426,Inactive,1,195,1,582.73,1,1,3,113,440.69317179989525,0.0377257525104405,1.0,0.9999776962114252,High,Low Priority: Automated email only
12427,Silver Tier,0,22,3,825.8,4,3,3,433,688.3194438651655,0.0770632861868255,0.9994906418159384,2.2303788574989992e-05,Low,Maintain: Standard loyalty program
12428,Silver Tier,0,26,9,7956.46,4,5,5,455,3169.546632834737,0.2326648408189837,0.9995162337944428,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12429,Silver Tier,0,9,4,3750.4,5,4,5,545,2111.0536245683907,0.1057786097567312,0.9995742946964872,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12430,Silver Tier,0,43,1,256.4,3,1,2,312,1034.75663059681,0.0886287817760632,1.0,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12431,Gold Tier,3,36,15,6419.95,3,5,5,355,4875.216051307276,0.3752334179754227,0.9994264434281352,2.2303788574990385e-05,Low,Maintain: VIP loyalty program
12432,Silver Tier,0,43,5,5059.32,3,4,5,345,2786.1151243148706,0.1406835740669867,0.9992378565885036,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12433,Silver Tier,0,1,7,13375.87,5,5,5,555,8625.387710487077,0.1581657573368343,0.999680200887116,2.2303788574990785e-05,Low,Maintain: Standard loyalty program
12434,Silver Tier,0,85,2,806.14,2,2,3,223,868.5592299211354,0.0665811456403851,0.9991274526231204,2.2303788574994623e-05,Low,Maintain: Standard loyalty program
12435,Silver Tier,0,80,2,7829.89,2,2,5,225,3684.9319105546056,0.065196392703486,0.9991690662063606,2.2303788574995416e-05,Low,Maintain: Standard loyalty program
12436,Silver Tier,0,100,1,509.01,2,1,3,213,689.8589465351988,0.0590701224336564,1.0,0.9999776962114252,High,Send: Standard win-back offer
12437,Gold Tier,3,2,18,4951.41,5,5,5,555,4157.177030304067,0.4448040565468641,0.999819361288421,2.2303788574990385e-05,Low,Maintain: VIP loyalty program
12438,Silver Tier,0,14,2,2906.85,4,2,5,425,3415.498580226149,0.1048564493941701,0.9994218869102232,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12441,Inactive,1,367,1,173.55,1,1,1,111,266.45689100090283,0.0228058387806504,1.0,0.9999776962114252,High,Low Priority: Automated email only
12442,Silver Tier,0,3,1,172.06,5,1,1,511,1609.660589705031,0.1379282589170133,1.0,2.230378857499086e-05,Low,Maintain: Standard loyalty program
12444,Silver Tier,0,21,5,5005.46,4,4,5,445,4756.044239187997,0.2412789673446685,0.9994514462882836,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12445,Silver Tier,0,22,1,133.4,4,1,1,411,1273.5470319616638,0.1091017025711163,1.0,2.2303788574990148e-05,Low,Maintain: Standard loyalty program
12446,Silver Tier,0,58,1,1002.31,3,1,4,314,919.7889416513344,0.0787741448838927,1.0,2.2303788574990426e-05,Low,Maintain: Standard loyalty program
12447,Inactive,1,243,1,476.49,1,1,2,112,371.4891427284427,0.0317991774017797,1.0,0.9999776962114252,High,Low Priority: Automated email only
12448,Silver Tier,0,44,1,449.45,3,1,2,312,1025.5998068295544,0.087843835003437,1.0,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12449,Silver Tier,0,22,4,4067.29,4,4,5,445,4474.985593842138,0.1793291297461875,0.9994458768553642,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12450,Inactive,1,156,2,197.88,2,2,1,221,678.2822205514992,0.0903001317651946,0.9966346164818776,0.9999776962114252,High,Low Priority: Automated email only
12451,Silver Tier,0,11,5,9035.52,5,4,5,545,5301.353806814517,0.1473478835768107,0.9996006926963088,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12452,Silver Tier,0,17,2,430.57,4,2,2,422,1363.4498314612754,0.1168111145017802,1.0,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12453,Silver Tier,0,134,1,707.09,2,1,3,213,570.9298029785416,0.048881132193955,1.0,0.9999776962114252,High,Send: Standard win-back offer
12454,Silver Tier,0,56,1,3528.34,3,1,5,315,927.1467966421674,0.0794047891970098,1.0,2.2303788574990937e-05,Low,Maintain: Standard loyalty program
12455,Silver Tier,0,73,6,2466.86,2,4,5,245,1103.7981818039862,0.1913763388467238,0.9988269374951172,2.230378857499233e-05,Low,Maintain: Standard loyalty program
12456,Silver Tier,0,44,3,3181.04,3,3,5,335,2545.3360106050745,0.1049683018855142,0.9993289914897528,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12457,Silver Tier,0,66,7,2363.23,3,5,5,355,2268.581142918128,0.2656367315302843,0.9984831587468116,2.230378857499161e-05,Low,Maintain: Standard loyalty program
12458,Silver Tier,0,71,2,947.4,3,2,4,324,797.93290549995,0.0620597833716303,0.9992324747492976,2.2303788574991337e-05,Low,Maintain: Standard loyalty program
12461,Silver Tier,0,94,2,826.88,2,2,3,223,870.7720487584959,0.0981917267547578,0.998616181251946,0.9999776962114252,High,Send: Standard win-back offer
12462,Silver Tier,0,19,2,1189.59,4,2,4,424,697.3794651840036,0.0589016879919074,0.9994423662971894,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12463,Silver Tier,0,53,4,1344.78,3,4,4,344,1476.568597386242,0.1480454284688717,0.9991949799357622,2.2303788574990307e-05,Low,Maintain: Standard loyalty program
12464,Silver Tier,0,10,8,1212.05,5,5,4,554,1258.318271587685,0.2166866554361653,0.9996486615317004,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12465,Silver Tier,0,17,2,742.1899999999999,4,2,3,423,938.2113283938698,0.0920746597714103,0.9994168295472284,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12468,Inactive,1,188,2,729.54,1,2,3,123,733.5062113414272,0.0568464630822571,0.9982853542898844,0.9999776962114252,High,Low Priority: Automated email only
12471,Gold Tier,3,2,30,19788.65,5,5,5,555,13752.2800408325,0.5494811022611462,0.9998477545997884,2.230378857499205e-05,Low,Maintain: VIP loyalty program
12472,Silver Tier,0,32,7,6572.11,4,5,5,455,3982.93133822203,0.1869718327516129,0.999508946618496,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12473,Silver Tier,0,29,5,3928.05,4,4,5,445,4475.1787765485415,0.176558080486579,0.9993822597176846,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12474,Gold Tier,3,17,18,7324.09,4,5,5,455,6279.531054980869,0.5072662677888424,0.9996705425021912,2.2303788574990307e-05,Low,Maintain: VIP loyalty program
12475,Silver Tier,0,54,1,723.38,3,1,3,313,949.944145249896,0.0813587982568712,1.0,2.2303788574990385e-05,Low,Maintain: Standard loyalty program
12476,Silver Tier,0,16,11,6816.42,4,5,5,455,5529.38152001383,0.2741899978113588,0.999669631656349,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12477,Silver Tier,0,23,6,13219.74,4,4,5,445,9789.930954081852,0.1889249235541493,0.9995429374407192,2.2303788574990663e-05,Low,Maintain: Standard loyalty program
12478,Silver Tier,0,4,1,680.99,5,1,3,513,1609.660589705031,0.1379282589170133,1.0,2.2303788574990226e-05,Low,Maintain: Standard loyalty program
12479,Silver Tier,0,11,1,527.2,5,1,3,513,1448.6733665307254,0.1241199846914916,1.0,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12480,Silver Tier,0,28,4,3281.63,4,4,5,445,2259.257635387907,0.1133441357434111,0.9994831983524232,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12481,Silver Tier,0,23,10,5579.82,4,5,5,455,4401.340621112907,0.2163551529207544,0.999594894208732,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12483,Silver Tier,0,17,8,2484.98,4,5,5,455,1917.9716879237944,0.2301519118715033,0.999623802769454,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12484,Silver Tier,0,33,6,4527.32,4,4,5,445,3049.9327017774935,0.1725844564551893,0.9994834417290884,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12488,Silver Tier,0,10,3,1298.66,5,3,4,534,2570.1824829113693,0.2355604015834635,0.9994675897871084,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12489,Inactive,1,336,1,334.93,1,1,2,112,286.1923664968277,0.0244955328882243,1.0,0.9999776962114252,High,Low Priority: Automated email only
12490,Silver Tier,0,5,10,5417.93,5,5,5,555,4128.421162448699,0.2962596050338547,0.999736105556366,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12491,Silver Tier,0,39,1,460.4,3,1,2,312,1083.108434623702,0.0927737784293248,1.0,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12492,Silver Tier,0,63,2,263.21000000000004,3,2,2,322,1012.4024628857672,0.1258858373305559,0.9988423708921056,2.2303788574990663e-05,Low,Maintain: Standard loyalty program
12493,Inactive,1,166,2,433.74,2,2,2,222,730.2031166979693,0.0821816354988397,0.9970175434163004,0.9999776962114252,High,Low Priority: Automated email only
12494,Silver Tier,0,16,7,1246.1,4,5,4,454,1237.173569706693,0.1887178834405666,0.9996280266331886,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12497,Silver Tier,0,82,1,1043.1,2,1,4,214,772.6333322467653,0.0661627642284102,1.0,2.230378857499379e-05,Low,Maintain: Standard loyalty program
12498,Silver Tier,0,21,3,403.7000000000001,4,3,2,432,1443.1167681369452,0.1739534877468509,0.999289316032164,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12500,Silver Tier,0,23,11,4257.82,4,5,5,455,3566.4289518769106,0.2932665860815985,0.9995841949229644,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12501,Inactive,1,337,1,2169.39,1,1,5,115,286.1923664968277,0.0244955328882243,1.0,0.9999776962114252,High,Low Priority: Automated email only
12502,Silver Tier,0,96,5,3723.87,2,4,5,245,2993.768602156485,0.1530391714742706,0.998575311354532,0.9999776962114252,High,Send: Standard win-back offer
12504,Silver Tier,0,18,2,482.0499999999999,4,2,2,422,1479.0902238701728,0.2214319743158914,0.9992650274767284,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12506,Inactive,1,233,1,73.5,1,1,1,111,385.0635714668843,0.0329616186486809,1.0,0.9999776962114252,High,Low Priority: Automated email only
12507,Silver Tier,0,134,3,1304.81,2,3,4,234,1101.008664451282,0.0922946270821028,0.9983989995901532,0.9999776962114252,High,Send: Standard win-back offer
12508,Silver Tier,0,26,2,397.88,4,2,2,422,1757.6637633027726,0.2236577444603667,0.9991052762184944,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12509,Inactive,1,284,1,176.5,1,1,1,111,328.3462161271562,0.0281048534748136,1.0,0.9999776962114252,High,Low Priority: Automated email only
12510,Silver Tier,0,143,2,982.57,2,2,4,224,566.6782632650768,0.0555789712881164,0.998848221637204,0.9999776962114252,High,Send: Standard win-back offer
12512,Silver Tier,0,66,2,132.18,3,2,1,321,858.4738053899073,0.0735190544599296,1.0,2.2303788574991137e-05,Low,Maintain: Standard loyalty program
12513,Silver Tier,0,113,1,612.29,2,1,3,213,640.3162225470167,0.0548254206643806,1.0,0.9999776962114252,High,Send: Standard win-back offer
12514,Inactive,1,267,1,1017.68,1,1,4,114,344.95708979870165,0.0295272034380185,1.0,0.9999776962114252,High,Low Priority: Automated email only
12515,Inactive,1,353,1,383.7,1,1,2,112,274.66444300148896,0.0235085370737603,1.0,0.9999776962114252,High,Low Priority: Automated email only
12516,Silver Tier,0,78,2,1312.06,2,2,4,224,1387.2756793720375,0.0879688872447195,0.9989990544944478,2.2303788574993156e-05,Low,Maintain: Standard loyalty program
12517,Silver Tier,0,28,5,2481.6,4,4,5,445,2652.2382219349533,0.1772415985264114,0.999391299764951,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12518,Silver Tier,0,1,5,2056.89,5,4,5,545,3901.672042508319,0.3236045373187244,0.9996473961115032,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12519,Silver Tier,0,64,1,330.84000000000003,3,1,2,312,877.9831095133258,0.075191074676543,1.0,2.2303788574990663e-05,Low,Maintain: Standard loyalty program
12520,Silver Tier,0,79,5,2634.26,2,4,5,245,1962.2714443770997,0.1691817449666441,0.9987479080130746,2.2303788574994505e-05,Low,Maintain: Standard loyalty program
12521,Silver Tier,0,143,1,599.68,2,1,3,213,549.2856589747144,0.047027033773002,1.0,0.9999776962114252,High,Send: Standard win-back offer
12522,Silver Tier,0,39,2,192.72,3,2,1,321,1388.2224266693113,0.1825965128443395,0.998955592166092,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12523,Silver Tier,0,19,11,1789.77,4,5,4,454,1773.138359210036,0.3247414844258576,0.9996303458331628,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12524,Silver Tier,0,9,8,4485.72,5,5,5,555,3727.363867877581,0.2336004016000981,0.9996780974958394,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12526,Silver Tier,0,1,3,1316.66,5,3,4,534,2365.625706211568,0.208106418644725,0.9995563845737592,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12527,Silver Tier,0,82,3,348.71000000000004,2,3,2,232,533.6330502999667,0.0860331532434466,0.999149988620036,2.2303788574993753e-05,Low,Maintain: Standard loyalty program
12528,Silver Tier,0,9,6,1933.48,5,5,4,554,1609.0180242714996,0.183485632029549,0.9996324104907064,2.2303788574989992e-05,Low,Maintain: Standard loyalty program
12530,Silver Tier,0,60,4,1662.28,3,4,4,344,1345.694526744733,0.1133213667701065,0.9992824186110408,2.2303788574990385e-05,Low,Maintain: Standard loyalty program
12531,Silver Tier,0,15,1,125.22,4,1,1,411,1396.3067155040203,0.1196288779998455,1.0,2.2303788574990148e-05,Low,Maintain: Standard loyalty program
12532,Silver Tier,0,30,1,349.83000000000004,4,1,2,412,1170.6317638661749,0.1002774292261558,1.0,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12534,Silver Tier,0,131,1,1089.18,2,1,4,214,582.4044341532608,0.0498641089985776,1.0,0.9999776962114252,High,Send: Standard win-back offer
12535,Silver Tier,0,92,2,716.35,2,2,3,223,924.1140522325708,0.0858863321953943,0.9988596253879936,0.9999776962114252,High,Send: Standard win-back offer
12536,Silver Tier,0,43,3,12601.830000000002,3,3,5,335,19650.30491347044,0.1711710057555825,0.9989240035927344,2.2303788574990585e-05,Low,Maintain: Standard loyalty program
12538,Silver Tier,0,29,1,363.95,4,1,2,412,1182.577097323801,0.1013016031875834,1.0,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12539,Silver Tier,0,22,4,5568.35,4,4,5,445,3348.2793410522045,0.1141935356393799,0.9995126928239724,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12540,Gold Tier,3,20,17,13400.24,4,5,5,455,10001.552894480454,0.4695052288649851,0.9996619027631916,2.23037885749909e-05,Low,Maintain: VIP loyalty program
12541,Silver Tier,0,30,3,981.18,4,3,4,434,994.5435478050238,0.0971565117379101,0.9994331416139228,2.2303788574989992e-05,Low,Maintain: Standard loyalty program
12544,Silver Tier,0,36,1,372.7,3,1,2,312,1103.738729125816,0.0945424046456437,1.0,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12545,Silver Tier,0,75,2,1000.39,2,2,4,224,742.5501501966602,0.0667878187964915,0.9991817254550884,2.230378857499217e-05,Low,Maintain: Standard loyalty program
12546,Silver Tier,0,47,2,1161.5,3,2,4,324,1724.389124083527,0.1500639637480611,0.998983211242729,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12547,Inactive,1,198,2,207.8,1,2,1,121,431.9247712533648,0.0626735992237197,0.9976780314225336,0.9999776962114252,High,Low Priority: Automated email only
12548,Inactive,1,166,1,95.2,2,1,1,211,493.1946945131873,0.0422224457165635,1.0,0.9999776962114252,High,Low Priority: Automated email only
12550,Silver Tier,0,79,1,964.83,2,1,4,214,783.0733593220475,0.0670573960663036,1.0,2.2303788574992445e-05,Low,Maintain: Standard loyalty program
12551,Inactive,1,358,1,168.0,1,1,1,111,272.08569290817746,0.023287753336452,1.0,0.9999776962114252,High,Low Priority: Automated email only
12552,Silver Tier,0,39,2,437.82,3,2,2,322,1586.4356780007242,0.2028851315367955,0.9988751034665496,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12553,Silver Tier,0,8,10,3692.28,5,5,5,555,2847.396961680295,0.2962534892939456,0.999715467825486,2.2303788574990148e-05,Low,Maintain: Standard loyalty program
12556,Silver Tier,0,50,2,599.56,3,2,3,323,1001.1501044695552,0.0995878653953571,0.9991843405017004,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12557,Silver Tier,0,16,5,11990.96,4,4,5,445,8507.826095027614,0.1316025143012429,0.9995783832223476,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12558,Silver Tier,0,8,1,269.96,5,1,2,512,1524.9288592155797,0.1306603172652558,1.0,2.230378857499086e-05,Low,Maintain: Standard loyalty program
12559,Inactive,1,311,2,561.71,1,2,3,123,405.60416649481374,0.0559684443054396,0.9905268339194632,0.9999776962114252,High,Low Priority: Automated email only
12560,Silver Tier,0,5,3,2134.01,5,3,5,535,1883.6209194469511,0.1599818638845772,0.999525424812384,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12561,Inactive,1,303,1,238.85,1,1,1,111,312.4173559698087,0.0267409472309883,1.0,0.9999776962114252,High,Low Priority: Automated email only
12562,Silver Tier,0,8,7,3781.74,5,5,5,555,4599.787200200921,0.3067949965645357,0.9996398902055476,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
